brand_slug,brand_name,model_slug,model_name,model_url,model_source
kia,Kia,syros-ev,Syros Ev,https://www.carwale.com/kia-cars/syros-ev/,carwale
kia,Kia,sorento-hybrid,Sorento Hybrid,https://www.carwale.com/kia-cars/sorento-hybrid/,carwale
kia,Kia,ev5,Ev5,https://www.carwale.com/kia-cars/ev5/,carwale
kia,Kia,new-sonet,New Sonet,https://www.carwale.com/kia-cars/new-sonet/,carwale
kia,Kia,ev3,Ev3,https://www.carwale.com/kia-cars/ev3/,carwale
kia,Kia,tasman,Tasman,https://www.carwale.com/kia-cars/tasman/,carwale
kia,Kia,rio,Rio,https://www.carwale.com/kia-cars/rio/,carwale
lamborghini,Lamborghini,revuelto,Revuelto,https://www.carwale.com/lamborghini-cars/revuelto/,carwale
lamborghini,Lamborghini,urus-se,Urus Se,https://www.carwale.com/lamborghini-cars/urus-se/,carwale
lamborghini,Lamborghini,temerario,Temerario,https://www.carwale.com/lamborghini-cars/temerario/,carwale
lamborghini,Lamborghini,huracan-tecnica,Huracan Tecnica,https://www.carwale.com/lamborghini-cars/huracan-tecnica/,carwale
lamborghini,Lamborghini,huracan-evo-spyder,Huracan Evo Spyder,https://www.carwale.com/lamborghini-cars/huracan-evo-spyder/,carwale
lamborghini,Lamborghini,huracan-sto,Huracan Sto,https://www.carwale.com/lamborghini-cars/huracan-sto/,carwale
lamborghini,Lamborghini,huracan-sterrato,Huracan Sterrato,https://www.carwale.com/lamborghini-cars/huracan-sterrato/,carwale
lamborghini,Lamborghini,murcielago,Murcielago,https://www.carwale.com/lamborghini-cars/murcielago/,carwale
lamborghini,Lamborghini,aventador-ultimae,Aventador Ultimae,https://www.carwale.com/lamborghini-cars/aventador-ultimae/,carwale
lamborghini,Lamborghini,urus-s,Urus S,https://www.carwale.com/lamborghini-cars/urus-s/,carwale
lamborghini,Lamborghini,urus-performante,Urus Performante,https://www.carwale.com/lamborghini-cars/urus-performante/,carwale
land-rover,Land Rover,defender,Defender,https://www.carwale.com/land-rover-cars/defender/,carwale
land-rover,Land Rover,range-rover-velar,Range Rover Velar,https://www.carwale.com/land-rover-cars/range-rover-velar/,carwale
land-rover,Land Rover,range-rover,Range Rover,https://www.carwale.com/land-rover-cars/range-rover/,carwale
land-rover,Land Rover,range-rover-sport,Range Rover Sport,https://www.carwale.com/land-rover-cars/range-rover-sport/,carwale
land-rover,Land Rover,range-rover-evoque,Range Rover Evoque,https://www.carwale.com/land-rover-cars/range-rover-evoque/,carwale
land-rover,Land Rover,discovery-sport,Discovery Sport,https://www.carwale.com/land-rover-cars/discovery-sport/,carwale
land-rover,Land Rover,discovery,Discovery,https://www.carwale.com/land-rover-cars/discovery/,carwale
land-rover,Land Rover,freelander-2,Freelander 2,https://www.carwale.com/land-rover-cars/freelander-2/,carwale
leapmotor,Leapmotor,c10,C10,https://www.carwale.com/leapmotor-cars/c10/,carwale
leapmotor,Leapmotor,t03,T03,https://www.carwale.com/leapmotor-cars/t03/,carwale
lexus,Lexus,es,Es,https://www.carwale.com/lexus-cars/es/,carwale
lexus,Lexus,lx,Lx,https://www.carwale.com/lexus-cars/lx/,carwale
lexus,Lexus,nx,Nx,https://www.carwale.com/lexus-cars/nx/,carwale
lexus,Lexus,lm,Lm,https://www.carwale.com/lexus-cars/lm/,carwale
lexus,Lexus,rx,Rx,https://www.carwale.com/lexus-cars/rx/,carwale
lexus,Lexus,ls,Ls,https://www.carwale.com/lexus-cars/ls/,carwale
lexus,Lexus,ux-300e,Ux 300E,https://www.carwale.com/lexus-cars/ux-300e/,carwale
lexus,Lexus,lc-500h,Lc 500H,https://www.carwale.com/lexus-cars/lc-500h/,carwale
lexus,Lexus,gs350,Gs350,https://www.carwale.com/lexus-cars/gs350/,carwale
lexus,Lexus,sc430,Sc430,https://www.carwale.com/lexus-cars/sc430/,carwale
lotus,Lotus,emeya,Emeya,https://www.carwale.com/lotus-cars/emeya/,carwale
lotus,Lotus,eletre,Eletre,https://www.carwale.com/lotus-cars/eletre/,carwale
lotus,Lotus,emira,Emira,https://www.carwale.com/lotus-cars/emira/,carwale
mg,MG,windsor-ev,Windsor Ev,https://www.carwale.com/mg-cars/windsor-ev/,carwale
mg,MG,majestor,Majestor,https://www.carwale.com/mg-cars/majestor/,carwale
mg,MG,hector,Hector,https://www.carwale.com/mg-cars/hector/,carwale
mg,MG,comet-ev,Comet Ev,https://www.carwale.com/mg-cars/comet-ev/,carwale
mg,MG,astor,Astor,https://www.carwale.com/mg-cars/astor/,carwale
mg,MG,cyberster,Cyberster,https://www.carwale.com/mg-cars/cyberster/,carwale
mg,MG,m9,M9,https://www.carwale.com/mg-cars/m9/,carwale
mg,MG,zs-ev,Zs Ev,https://www.carwale.com/mg-cars/zs-ev/,carwale
mg,MG,hector-plus,Hector Plus,https://www.carwale.com/mg-cars/hector-plus/,carwale
mg,MG,gloster,Gloster,https://www.carwale.com/mg-cars/gloster/,carwale
mg,MG,im6,Im6,https://www.carwale.com/mg-cars/im6/,carwale
mg,MG,ehs,Ehs,https://www.carwale.com/mg-cars/ehs/,carwale
mg,MG,6,6,https://www.carwale.com/mg-cars/6/,carwale
mg,MG,erx5,Erx5,https://www.carwale.com/mg-cars/erx5/,carwale
mg,MG,marvel-r,Marvel R,https://www.carwale.com/mg-cars/marvel-r/,carwale
mg,MG,5-estate,5 Estate,https://www.carwale.com/mg-cars/5-estate/,carwale
mg,MG,4,4,https://www.carwale.com/mg-cars/4/,carwale
mg,MG,euniq-7,Euniq 7,https://www.carwale.com/mg-cars/euniq-7/,carwale
mahindra,Mahindra,xuv-7xo,Xuv 7Xo,https://www.carwale.com/mahindra-cars/xuv-7xo/,carwale
mahindra,Mahindra,scorpio-n,Scorpio N,https://www.carwale.com/mahindra-cars/scorpio-n/,carwale
mahindra,Mahindra,thar-roxx,Thar Roxx,https://www.carwale.com/mahindra-cars/thar-roxx/,carwale
mahindra,Mahindra,xuv-3xo,Xuv 3Xo,https://www.carwale.com/mahindra-cars/xuv-3xo/,carwale
mahindra,Mahindra,thar,Thar,https://www.carwale.com/mahindra-cars/thar/,carwale
mahindra,Mahindra,be-6,Be 6,https://www.carwale.com/mahindra-cars/be-6/,carwale
mahindra,Mahindra,scorpio,Scorpio,https://www.carwale.com/mahindra-cars/scorpio/,carwale
mahindra,Mahindra,xev-9s,Xev 9S,https://www.carwale.com/mahindra-cars/xev-9s/,carwale
mahindra,Mahindra,xev-9e,Xev 9E,https://www.carwale.com/mahindra-cars/xev-9e/,carwale
mahindra,Mahindra,bolero,Bolero,https://www.carwale.com/mahindra-cars/bolero/,carwale
mahindra,Mahindra,bolero-neo,Bolero Neo,https://www.carwale.com/mahindra-cars/bolero-neo/,carwale
mahindra,Mahindra,be-6-fe,Be 6 Fe,https://www.carwale.com/mahindra-cars/be-6-fe/,carwale
mahindra,Mahindra,xuv-3xo-ev,Xuv 3Xo Ev,https://www.carwale.com/mahindra-cars/xuv-3xo-ev/,carwale
mahindra,Mahindra,bolero-neo-plus,Bolero Neo Plus,https://www.carwale.com/mahindra-cars/bolero-neo-plus/,carwale
mahindra,Mahindra,xuv400,Xuv400,https://www.carwale.com/mahindra-cars/xuv400/,carwale
